text,timestamp,fecha_legible,emocion,comment_length,word_count,bert_sentiment
la vrdd no yo tenía el pelo en pelo en pausa y empecé a usar mascarillas para pelo 1.de garnier fructis 😍 2.nutribela😍 3.pantene 😍,1728426278,2024-10-08 17:24:38,testimonio,130,25,positive
"Mí hermano es químico farmacéutico y dice que recomienda estos productos porque son más naturales que otras mascarillas, así también una mascarilla de Pantene que amo usar. 🤔",1716524639,2024-05-23 23:23:59,testimonio,174,28,neutral
"úsenlo, yo tenía el cabello horrible y no saben el cambio que me dio cuando lo empecé a usar, es mágico.",1633898429,2021-10-10 15:40:29,satisfaccion,104,21,negative
"mi cabello cambio por completo desde que la empecé a usar😏 está súper largo,súper suave y mejor que nunca 🤷creo que no a todas les funciona",1633893792,2021-10-10 14:23:12,satisfaccion,139,26,neutral
si es mala? es que la acabo de comprar la rosa 😭😭😭,1737934854,2025-01-26 18:40:54,consulta,50,12,neutral
"yo amaba nutribela y Pantene los dejé de usar y el cabello se puso horrible, chiroso, seco, no ni pa que eso d q es un maquillaje es verdad",1633956934,2021-10-11 07:55:34,decepcion,139,29,negative
"Lo uso hace mas de un año y no me pasa lo q dices, al contrario, se pone mas manejable.",1633897088,2021-10-10 15:18:08,testimonio,87,20,neutral
"Leyendo los comentarios a la gran mayoría le ha ido bien, y ella se pone brava por eso jajaja 😂😂",1633957506,2021-10-11 08:05:06,testimonio,96,20,neutral
"yo me decolore el cabello, nada me funcionaba parecía chicle, hasta que use nutribela y le dió un giro completo, se fortaleció lo recomiendo",1633901758,2021-10-10 16:35:58,testimonio,140,24,neutral
"Si tuviste mala experiencia con el producto no quiere decir que a las demás no les funcione, en mi caso tengo el cabello super largo y brillante",1633898166,2021-10-10 15:36:06,satisfaccion,144,27,neutral
"Yo la vrdd si lo recomiendo Además cada pelo es diferente ami me deja el pelo manejable,Brillo si etc",1720313288,2024-07-06 19:48:08,testimonio,101,19,neutral
eso es mentira yo por las decoloraciones tenía el cabello horrible y muy reseco empecé a usarlos y es fantástico recupero vida y ahora está suave y hermoso,1737937225,2025-01-26 19:20:25,decepcion,155,28,negative
"a mi me sirvió mucho, y cuando lo dejé de usar se me puso feo",1641367799,2022-01-05 02:29:59,testimonio,61,15,neutral
"chicas la cantidad de ingredientes es dependiendo de tu pelo, y tienes q probar para saber q necesita tu pelo, hay cabello que le sienta bien las siliconas y a otros no y ya, depende +",1745119387,2025-04-19 22:23:07,testimonio,184,36,neutral
ES MENTIRA!! LOS EXPERTOS DICEN TODO LO CONTRARIO......,1633893703,2021-10-10 14:21:43,queja,55,8,neutral
"Yo llevó ya meses usándola, desde la primera vez que la usé noté un gran cambio en el brillo de mi cabello aparte de q en el momento q la colocas se te deshacen los nudos; a medida q la voy usando+",1711326761,2024-03-24 19:32:41,satisfaccion,197,42,neutral
"Yo lo usó, me queda bello y no se reseca, uso shampoo y acondicionador marca milagros 🥰 me gusta bastante",1633894051,2021-10-10 14:27:31,satisfaccion,105,20,positive
y uno le pregunta a ella que productos recomienda y recomienda los que ella vende. los de natura😁 muy buena estrategia de venta👌😂,1633975736,2021-10-11 13:08:56,satisfaccion,129,23,positive
es el mejor tratamiento que hay deja el cabello increíble demasiado suave y brillante que tenga componente químicos no quiere decir que sea malo todos,1633923647,2021-10-10 22:40:47,satisfaccion,150,25,neutral
Yo apunto de hacerme preshampoo 👁️👄👁️Ni modos toca usarla,1738369697,2025-01-31 19:28:17,testimonio,57,9,neutral
mentiraa es recontra mentira mi hermana lo usa dos años lo tiene bien lacio y muy bonito ahora ando usando y tambien me hizo bien🥰 y lo recomiendo 🥰,1709158779,2024-02-28 17:19:39,frustracion,148,29,positive
"suuuper no, a mi si me arregla el cabello",1744917916,2025-04-17 14:25:16,satisfaccion,41,9,neutral
"esta chida esa mascarilla, porque es maqullaje con siliconas, siempre y cuando usen shampoo con sulfatos y ademas usen otras 2 mascarilllas no es mala",1729919761,2024-10-26 00:16:01,satisfaccion,150,25,neutral
No volveré a comprar 🥺 recomiendas la mascarilla para cabello de Garnier?,1638151227,2021-11-28 21:00:27,consulta,73,12,neutral
esa vaina fue lo mejor que me pude haber comprado vean esos risos😌😌 gracias nutribela🥰por tener cosas tóxicas pero buenas,1633931186,2021-10-11 00:46:26,satisfaccion,121,20,positive
Por qué las personas le caen encima? Ella solo coloco las razones porque no la usaría y no la recomienda. El que si le vaya bien pues que la use,1633914882,2021-10-10 20:14:42,confusion,144,30,neutral
yo lo usé durante un año y fue lo peor que pude hacer 😢 me dejó el pelo graso y con un olor extraño que aún tengo y me ha costado mucho quitarlo,1633909263,2021-10-10 18:41:03,decepcion,144,33,neutral
